id,c2_net,c1_net,c3_net,c4_net,c5_net,c6_net,c7_net,cohort,Race,Sex
3660,915,806,915,915,915,unk,unk,3,3,0
3785,915,806,915,915,915,unk,unk,3,unk,0
9218,unk,unk,unk,915,915,unk,unk,3,1,0
3748,915,806,915,915,915,unk,unk,3,1,0
9200,unk,unk,unk,915,915,unk,unk,3,unk,0
3315,806,706,806,915,915,unk,unk,2,3,1
8253,806,unk,806,915,915,unk,unk,2,4,1
4538,917,804,917,915,unk,unk,unk,3,2,1
9694,unk,unk,unk,915,915,unk,unk,2,1,0
3609,915,806,915,915,915,unk,unk,3,1,0
8304,915,unk,915,915,915,unk,unk,3,1,1
3488,806,706,806,915,915,unk,unk,2,1,0
9248,unk,unk,unk,915,915,unk,unk,2,1,1
3638,915,806,915,915,915,unk,unk,3,1,0
9253,unk,unk,unk,915,915,unk,unk,2,4,1
3689,915,806,915,915,915,unk,unk,3,1,0
8277,915,unk,915,915,915,unk,unk,3,1,0
3601,915,806,915,915,915,unk,unk,3,4,1
3635,915,806,915,915,915,unk,unk,3,1,0
3718,915,806,915,915,915,unk,unk,3,1,0
3521,915,806,915,915,915,unk,unk,3,1,0
3405,806,706,806,915,915,unk,unk,2,1,0
3671,915,806,915,915,915,unk,unk,3,1,1
3451,806,706,806,915,915,unk,unk,2,1,0
8250,806,unk,806,915,915,unk,unk,2,1,0
3563,915,806,917,915,915,unk,unk,3,4,1
3714,915,806,915,915,915,unk,unk,3,4,0
3545,915,806,915,915,915,unk,unk,3,1,1
8239,806,unk,806,915,unk,unk,unk,2,1,0
3632,915,806,915,915,915,unk,unk,3,1,1
3383,806,706,806,915,915,unk,unk,2,1,1
3447,806,706,806,915,915,unk,unk,2,1,1
3505,915,806,915,915,915,unk,unk,3,1,1
3423,806,706,806,915,915,unk,unk,2,1,0
3546,915,806,915,915,915,unk,unk,3,1,0
3709,915,806,915,915,915,unk,unk,3,1,0
3525,915,806,915,915,915,unk,unk,3,1,1
8291,915,unk,915,915,915,unk,unk,3,unk,0
8314,915,unk,915,915,915,unk,unk,3,1,0
